Acción,Incidencia,Farola,Sticker,Potencia,Tecnologia,Tipo,LATITUD,LONGITUD,Descripción,Mes,Tiempo (Días),Operario,Estado
Correctivo,1689473,1664732,040715,37,LED,AVE,2.941722041,-75.30334097,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1697797,1664732,040715,37,LED,AVE,2.941722041,-75.30334097,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1697804,1664732,040715,37,LED,ACT,2.941722041,-75.30334097,"Se ha actuado sobre: Acometida, Otros: 7MTRS3X14-C.E",Abril,0,cuad57 ,FINALIZADA
Correctivo,1690563,1664732,040715,37,LED,ACT,2.941722041,-75.30334097,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1702615,1665002,026812,60.2,LED,AVE,2.932283056,-75.28917604,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,x,ESIP,EN CURSO
Correctivo,1688947,1665196,022052,37,LED,AVE,2.926851075,-75.27266196,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1689618,1665196,022052,37,LED,ACT,2.926851075,-75.27266196,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1702613,1665453,022843,37,LED,AVE,2.932809053,-75.27886002,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,x,ESIP,EN CURSO
Correctivo,1689183,1665462,021990,37,LED,AVE,2.933155106,-75.27811,Registro de incidencia tipo: PrendidaPQR-INTERNA,Abril,4,COORDMTTO,FINALIZADA
Correctivo,1691610,1665462,021990,37,LED,ACT,2.933155106,-75.27811,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1699319,1665817,054204,46.3,LED,AVE,2.927148093,-75.27704402,Registro de incidencia tipo: PrendidaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1700562,1665817,054204,46.3,LED,ACT,2.927148093,-75.27704402,"Se ha actuado sobre: Fotocelda, Otros: 1F.",Abril,0,cuad55 ,FINALIZADA
Correctivo,1692128,1665931,065010,27.8,LED,AVE,2.928256075,-75.27338,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,0,ESIP,FINALIZADA
Correctivo,1692727,1665931,065010,27.8,LED,ACT,2.928256075,-75.27338,"Se ha actuado sobre: Acometida, Conectores, Otros: 2CDP .9MTR3×14.C.E",Abril,0,cuad55 ,FINALIZADA
Correctivo,1696907,1665935,038787,60.2,LED,AVE,2.926277096,-75.27319101,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1697269,1665935,038787,60.2,LED,ACT,2.926277096,-75.27319101,"Se ha actuado sobre: Luminaria, Conectores, Otros: F.I-VIEJA026167-NUEVA038787-2CDP",Abril,0,cuad57 ,FINALIZADA
Correctivo,1696749,1666061,024708,46.3,LED,AVE,2.935345037,-75.27364402,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1696750,1666061,024708,46.3,LED,ACT,2.935345037,-75.27364402,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad57 ,FINALIZADA
Correctivo,1703057,1666071,026253,60.2,LED,AVE,2.933064054,-75.27754498,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,x,ESIP,EN CURSO
Correctivo,1692939,1666686,023111,46.3,LED,AVE,2.921317502,-75.282106,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,0,ESIP,FINALIZADA
Correctivo,1693491,1666686,023111,46.3,LED,ACT,2.921317502,-75.282106,"Se ha actuado sobre: Conectores, Otros: 2CDP-C.E",Abril,0,cuad57 ,FINALIZADA
Correctivo,1698047,1666895,003675,27.8,LED,AVE,2.925694043,-75.26482704,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1699812,1666895,003675,27.8,LED,ACT,2.925694043,-75.26482704,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1689634,1666904,009285,27.8,LED,AVE,2.926545,-75.291894,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1689992,1666904,009285,27.8,LED,ACT,2.926545,-75.291894,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1689630,1666905,008624,27.8,LED,AVE,2.926968,-75.29217,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1689998,1666905,008624,27.8,LED,ACT,2.926968,-75.29217,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1687945,1666921,007921,27.8,LED,AVE,2.921239039,-75.26558698,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1688257,1666921,007921,27.8,LED,ACT,2.921239039,-75.26558698,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad57 ,FINALIZADA
Correctivo,1699795,1667068,051571,27.8,LED,AVE,2.925516088,-75.27383402,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,1,COORDMTTO,FINALIZADA
Correctivo,1700603,1667068,051571,27.8,LED,ACT,2.925516088,-75.27383402,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1696004,1667080,024477,46.3,LED,AVE,2.924884104,-75.29155328,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,4,ESIP,FINALIZADA
Correctivo,1700561,1667080,024477,46.3,LED,ACT,2.924884104,-75.29155328,"Se ha actuado sobre: Conectores, Otros: 2CDP/C.E",Abril,0,cuad54 ,FINALIZADA
Correctivo,1688361,1667144,008783,27.8,LED,AVE,2.921361602,-75.28586242,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,5,ESIP,FINALIZADA
Correctivo,1690485,1667144,008783,27.8,LED,ACT,2.921361602,-75.28586242,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad57 ,FINALIZADA
Correctivo,1689645,1667395,024195,46.3,LED,AVE,2.925117079,-75.290801,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1690484,1667395,024195,46.3,LED,ACT,2.925117079,-75.290801,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1700702,1667421,SC,0.5,PSL,AVE,2.92088008,-75.281841,Registro de incidencia tipo: HurtoPQR-INTERNA,Abril,0,JCONDE,FINALIZADA
Correctivo,1700703,1667421,SC,0.5,PSL,ACT,2.92088008,-75.281841,Se ha actuado sobre: HURTO LUMINARIA,Abril,0,cuad56 ,FINALIZADA
Correctivo,1689150,1667639,034331,46.3,LED,AVE,2.926170072,-75.26644702,Registro de incidencia tipo: ApagadaPQR-INTERNA AGM,Abril,1,COORDMTTO,FINALIZADA
Correctivo,1689619,1667639,034331,46.3,LED,ACT,2.926170072,-75.26644702,"Se ha actuado sobre: Conectores, Otros: 2CDP/C.E",Abril,0,cuad54 ,FINALIZADA
Correctivo,1689166,1667902,024589,46.3,LED,AVE,2.914704109,-75.28017901,Registro de incidencia tipo: ApagadaPQR-INTERNA AGM,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1689344,1667902,024589,46.3,LED,ACT,2.914704109,-75.28017901,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1692313,1668185,003306,27.8,LED,AVE,2.919509112,-75.27183999,Registro de incidencia tipo: ApagadaPQR-INTERNA AGM,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1692552,1668185,003306,27.8,LED,ACT,2.919509112,-75.27183999,"Se ha actuado sobre: Conectores, Otros: 2CDP.C.E",Abril,0,cuad55 ,FINALIZADA
Correctivo,1698068,1668565,008570,27.8,LED,AVE,2.91183708,-75.276343,Registro de incidencia tipo: IntermitentePQR-INTERVENTORIA,Abril,4,ESIP,FINALIZADA
Correctivo,1700798,1668565,008570,27.8,LED,ACT,2.91183708,-75.276343,Se ha actuado sobre: Otros: V.A,Abril,0,cuad56 ,FINALIZADA
Correctivo,1686922,1668574,022879,37,LED,AVE,2.912973116,-75.27594601,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,0,ESIP,FINALIZADA
Correctivo,1687368,1668574,022879,37,LED,ACT,2.912973116,-75.27594601,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1696291,1668918,005060,27.8,LED,AVE,2.915725099,-75.27007201,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1697748,1668918,005060,27.8,LED,ACT,2.915725099,-75.27007201,"Se ha actuado sobre: Fotocelda, Otros: 1F.",Abril,0,cuad55 ,FINALIZADA
Correctivo,1698063,1668937,029803,92.6,LED,AVE,2.915509053,-75.26895897,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,6,ESIP,FINALIZADA
Correctivo,1702757,1668937,029803,92.6,LED,ACT,2.915509053,-75.26895897,"Se ha actuado sobre: Acometida, Conectores, Otros: C.E 2CDP 51CABLE#6",Abril,0,cuad56 ,FINALIZADA
Correctivo,1698078,1668984,024483,46.3,LED,AVE,2.915195087,-75.28198498,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,5,ESIP,FINALIZADA
Correctivo,1702362,1668984,024483,46.3,LED,ACT,2.915195087,-75.28198498,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1685052,1669008,020099,37,LED,AVE,2.912121063,-75.28359696,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,2,ESIP,FINALIZADA
Correctivo,1687855,1669008,020099,37,LED,ACT,2.912121063,-75.28359696,Se ha actuado sobre: Otros: C.E,Abril,0,cuad59,FINALIZADA
Correctivo,1699339,1669099,025228,60.2,LED,AVE,2.91214304,-75.28260574,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,4,ESIP,FINALIZADA
Correctivo,1701839,1669099,025228,60.2,LED,ACT,2.91214304,-75.28260574,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1699340,1669100,025232,60.2,LED,AVE,2.91214304,-75.28260574,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,4,ESIP,FINALIZADA
Correctivo,1701838,1669100,025232,60.2,LED,ACT,2.91214304,-75.28260574,"Se ha actuado sobre: Acometida, Otros: C.E 61CABLE3X14",Abril,0,cuad56 ,FINALIZADA
Correctivo,1701848,1669101,025116,60.2,LED,AVE,2.91195183,-75.28251261,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1701850,1669101,025116,60.2,LED,ACT,2.91195183,-75.28251261,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1701847,1669102,025230,60.2,LED,AVE,2.91195183,-75.28251261,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1701851,1669102,025230,60.2,LED,ACT,2.91195183,-75.28251261,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1701849,1669103,021386,37,LED,AVE,2.911889112,-75.28246898,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1701852,1669103,021386,37,LED,ACT,2.911889112,-75.28246898,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1694809,1669171,022769,37,LED,AVE,2.914513034,-75.27654602,Registro de incidencia tipo: PrendidaPQR-INTERVENTORIA,Abril,0,ESIP,FINALIZADA
Correctivo,1695498,1669171,022769,37,LED,ACT,2.914513034,-75.27654602,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad56 ,FINALIZADA
Correctivo,1694812,1669172,022779,37,LED,AVE,2.914539062,-75.27628904,Registro de incidencia tipo: PrendidaPQR-INTERVENTORIA,Abril,0,ESIP,FINALIZADA
Correctivo,1695497,1669172,022779,37,LED,ACT,2.914539062,-75.27628904,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad56 ,FINALIZADA
Correctivo,1701775,1669385,040336,27.8,LED,AVE,2.902277041,-75.26317401,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1701840,1669385,040336,27.8,LED,ACT,2.902277041,-75.26317401,"Se ha actuado sobre: Conectores, Otros: C.E 2CDP",Abril,0,cuad56 ,FINALIZADA
Correctivo,1689494,1669430,023270,46.3,LED,AVE,2.911248062,-75.26914503,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1689390,1669430,023270,46.3,LED,ACT,2.911248062,-75.26914503,Se ha actuado sobre: Otros: V.A,Abril,0,cuad57 ,FINALIZADA
Correctivo,1686839,1669625,003284,27.8,LED,AVE,2.910023099,-75.266121,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1687369,1669625,003284,27.8,LED,ACT,2.910023099,-75.266121,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1690566,1669644,044754,27.8,LED,AVE,2.907537638,-75.26451748,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1690569,1669644,044754,27.8,LED,ACT,2.907537638,-75.26451748,"Se ha actuado sobre: Conectores, Otros: 2CDP.C.E",Abril,0,cuad55 ,FINALIZADA
Correctivo,1690567,1669645,010919,27.8,LED,AVE,2.90753757,-75.26451747,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1690570,1669645,010919,27.8,LED,ACT,2.90753757,-75.26451747,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1698142,1669649,010491,27.8,LED,AVE,2.90832184,-75.2647956,Registro de incidencia tipo: IntermitentePQR-EXTERNA,Abril,2,ESIP,FINALIZADA
Correctivo,1700550,1669649,010491,27.8,LED,ACT,2.90832184,-75.2647956,Se ha actuado sobre: Otros: C.E,Abril,0,cuad63,FINALIZADA
Correctivo,1699710,1669652,018397,27.8,LED,AVE,2.90859332,-75.26485726,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1700549,1669652,018397,27.8,LED,ACT,2.90859332,-75.26485726,Se ha actuado sobre: Otros: C.E,Abril,0,cuad63,FINALIZADA
Correctivo,1699704,1669654,012753,27.8,LED,AVE,2.909059,-75.26499245,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1700547,1669654,012753,27.8,LED,ACT,2.909059,-75.26499245,Se ha actuado sobre: Otros: C.E,Abril,0,cuad63,FINALIZADA
Correctivo,1699706,1669655,012240,27.8,LED,AVE,2.909059,-75.26499245,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1700548,1669655,012240,27.8,LED,ACT,2.909059,-75.26499245,Se ha actuado sobre: Otros: C.E,Abril,0,cuad63,FINALIZADA
Correctivo,1698084,1670104,019822,37,LED,AVE,2.910325056,-75.27339897,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,4,ESIP,FINALIZADA
Correctivo,1700797,1670104,019822,37,LED,ACT,2.910325056,-75.27339897,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1700804,1670115,021281,37,LED,AVE,2.910573072,-75.27324201,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1700805,1670115,021281,37,LED,ACT,2.910573072,-75.27324201,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad56 ,FINALIZADA
Correctivo,1700791,1671127,036328,27.8,LED,AVE,2.906026096,-75.27532696,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1702366,1671127,036328,27.8,LED,ACT,2.906026096,-75.27532696,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1700790,1671129,064616,27.8,LED,AVE,2.906092,-75.275296,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,x,ESIP,EN CURSO
Correctivo,1700789,1671130,039418,27.8,LED,AVE,2.906312118,-75.27513501,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1702437,1671130,039418,27.8,LED,ACT,2.906312118,-75.27513501,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1700788,1671131,039432,27.8,LED,AVE,2.906312118,-75.27513501,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1702365,1671131,039432,27.8,LED,ACT,2.906312118,-75.27513501,"Se ha actuado sobre: Acometida, Conectores, Otros: 3MTRS#6/1CDP/C.E",Abril,0,cuad54 ,FINALIZADA
Correctivo,1700787,1671132,036307,27.8,LED,AVE,2.906552064,-75.275053,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1702438,1671132,036307,27.8,LED,ACT,2.906552064,-75.275053,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1685045,1671420,064061,27.8,LED,AVE,2.899183,-75.26566,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,2,ESIP,FINALIZADA
Correctivo,1688131,1671420,064061,27.8,LED,ACT,2.899183,-75.26566,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad56 ,FINALIZADA
Correctivo,1687426,1671716,064182,27.8,LED,AVE,2.864272049,-75.20219502,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687477,1671716,064182,27.8,LED,ACT,2.864272049,-75.20219502,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1685055,1672021,035385,46.3,LED,AVE,2.902693097,-75.28082903,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1687011,1672021,035385,46.3,LED,ACT,2.902693097,-75.28082903,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1685054,1672023,035384,46.3,LED,AVE,2.903227028,-75.281277,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,1,ESIP,FINALIZADA
Correctivo,1687010,1672023,035384,46.3,LED,ACT,2.903227028,-75.281277,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1696422,1672081,063621,27.8,LED,AVE,2.891188066,-75.25725704,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,1,COORDMTTO,FINALIZADA
Correctivo,1697785,1672081,063621,27.8,LED,ACT,2.891188066,-75.25725704,"Se ha actuado sobre: Luminaria, Fotocelda, Otros: NUEVA063621VIEJA065673.1F.FI.",Abril,0,cuad55 ,FINALIZADA
Correctivo,1685060,1672426,065070,27.8,LED,AVE,2.865837,-75.222425,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1691360,1672426,065070,27.8,LED,AVE,2.865837,-75.222425,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1691651,1672426,065070,27.8,LED,ACT,2.865837,-75.222425,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1685655,1672426,065070,27.8,LED,ACT,2.865837,-75.222425,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1685037,1672503,064544,27.8,LED,AVE,2.860934,-75.196983,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,3,ESIP,FINALIZADA
Correctivo,1688647,1672503,064544,27.8,LED,ACT,2.860934,-75.196983,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1685040,1672504,064676,27.8,LED,AVE,2.860518,-75.197317,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,3,ESIP,FINALIZADA
Correctivo,1688645,1672504,064676,27.8,LED,ACT,2.860518,-75.197317,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1688624,1672508,064557,27.8,LED,AVE,2.861081,-75.197245,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
